t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019462.6378,E_left_back_r2,E,left,2,back,,0,121.0000,342.1000,192.4000,318.8000,0.0000,46.9000,360.0000,351.6000,23.9000,0.0000,0.0000,0.0000,123.4000,0.0000,0.29100,-0.04600,0.85400,5.38000,14.01000,20.97000,-0.93300,0.05300,0.24000,-5.42000,1.69000,-2.98000,24.4,16.4,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.4919,,,,,9803,9314,3418,3005,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019462.6612,E_left_back_r2,E,left,2,back,,1,121.0000,342.0000,191.8000,319.0000,0.0000,49.3000,360.0000,351.8000,23.9000,0.0000,0.0000,0.0000,123.4000,0.0000,0.27900,-0.15400,0.93100,24.00000,0.18000,-6.70000,-0.94600,0.06000,0.25100,-4.53000,0.69000,-2.04000,24.4,16.4,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.5177,,,,,9803,9314,3418,3005,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019462.6849,E_left_back_r2,E,left,2,back,,2,121.0000,342.0000,191.8000,319.0000,0.0000,50.5000,360.0000,351.8000,23.9000,0.0000,0.0000,0.0000,123.4000,0.0000,0.23600,-0.10900,0.92000,37.14000,-4.66000,-16.63000,-0.94600,0.06000,0.25100,-4.53000,0.69000,-2.04000,20.2,13.2,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.5177,,,,,129436,9314,3449,3005,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019462.7111,E_left_back_r2,E,left,2,back,,3,121.0000,342.0000,191.8000,319.0000,0.0000,50.8000,360.0000,351.8000,23.9000,0.0000,0.0000,0.0000,123.4000,0.0000,0.25000,-0.02600,0.89400,30.22000,-7.86000,-3.69000,-0.93500,0.07200,0.25900,1.98000,1.11000,-1.98000,22.2,12.8,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.5685,,,,,129436,125765,3449,3058,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019462.7184,E_left_back_r2,E,left,2,back,,4,121.0000,342.0000,191.8000,319.0000,0.0000,50.3000,360.0000,351.8000,23.9000,0.0000,0.0000,0.0000,123.4000,0.0000,0.25500,-0.03100,0.91400,21.27000,-7.58000,5.51000,-0.92600,0.07300,0.26200,2.09000,0.38000,-0.21000,23.7,14.1,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.6123,,,,,9803,9314,3418,3006,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019462.7494,E_left_back_r2,E,left,2,back,,5,121.0000,342.0000,1918.0000,319.1000,0.0000,50.6000,3600.0000,351.8000,23.9000,0.0000,0.0000,0.0000,123.4000,0.0000,0.28400,-0.06200,0.89700,13.38000,-3.69000,10.84000,-0.92600,0.07300,0.26200,2.09000,0.38000,-0.21000,23.7,14.1,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.6123,,,,,9803,125765,3418,3058,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019462.7663,E_left_back_r2,E,left,2,back,,6,121.0000,342.0000,1918.0000,319.1000,0.0000,50.6000,3600.0000,351.8000,23.9000,0.0000,0.0000,0.0000,123.4000,0.0000,0.28400,-0.06200,0.89700,13.38000,-3.69000,10.84000,-0.92600,0.07300,0.26200,2.09000,0.38000,-0.21000,25.5,15.5,1.0,1.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.6123,,,,,9803,125765,3418,3058,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019462.7804,E_left_back_r2,E,left,2,back,,7,121.1000,342.0000,191.6000,319.8000,0.0000,50.4000,360.0000,351.8000,23.9000,0.0000,0.0000,0.0000,123.4000,0.0000,0.37500,-0.10300,0.84800,1.48000,0.01000,14.20000,-0.94400,0.05400,0.25500,-1.69000,-3.69000,5.13000,25.5,15.5,1.0,1.0,1.032066,-0.060162,2.067321,-0.494447,-1.363201,2.360865,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.5459,,,,,9803,9314,3418,3006,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019462.7982,E_left_back_r2,E,left,2,back,,8,121.1000,342.0000,191.6000,319.8000,0.0000,50.4000,360.0000,351.8000,24.1000,0.0000,0.0000,0.0000,123.4000,0.0000,0.37500,-0.10300,0.84800,1.48000,0.01000,14.20000,-0.92500,0.05100,0.24400,-3.86000,-4.73000,7.24000,25.5,15.5,1.0,1.0,1.032066,-0.060162,2.067321,-0.494760,-1.363249,2.360744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.5711,,,,,9803,9314,3418,3006,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019462.8196,E_left_back_r2,E,left,2,back,,9,121.1000,342.0000,191.6000,319.8000,0.0000,50.4000,360.0000,351.8000,24.1000,0.0000,0.0000,0.0000,123.4000,0.0000,0.37500,-0.10300,0.84800,1.48000,0.01000,14.20000,-0.92500,0.05100,0.24400,-3.86000,-4.73000,7.24000,25.5,15.5,1.0,1.0,1.032066,-0.060162,2.067321,-0.494760,-1.363249,2.360744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.5711,,,,,9803,9314,3418,3006,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019462.8417,E_left_back_r2,E,left,2,back,,10,121.1000,342.0000,191.6000,319.8000,0.0000,50.4000,360.0000,351.8000,24.1000,0.0000,0.0000,0.0000,123.4000,0.0000,0.37500,-0.10300,0.84800,1.48000,0.01000,14.20000,-0.92500,0.05100,0.24400,-3.86000,-4.73000,7.24000,25.5,15.5,1.0,1.0,1.032066,-0.060162,2.067321,-0.494760,-1.363249,2.360744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.5711,,,,,9803,9314,3419,3006,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019462.8590,E_left_back_r2,E,left,2,back,,11,121.1000,342.0000,191.6000,319.8000,0.0000,50.4000,360.0000,351.8000,24.1000,0.0000,0.0000,0.0000,123.4000,0.0000,0.37500,-0.10300,0.84800,1.48000,0.01000,14.20000,-0.92500,0.05100,0.24400,-3.86000,-4.73000,7.24000,25.5,15.5,1.0,1.0,1.032066,-0.060162,2.067321,-0.494760,-1.363249,2.360744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.5711,,,,,129436,125765,3450,3059,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019462.8833,E_left_back_r2,E,left,2,back,,12,121.1000,342.0000,191.6000,319.8000,0.0000,50.4000,360.0000,351.8000,24.1000,0.0000,0.0000,0.0000,123.4000,0.0000,0.37500,-0.10300,0.84800,1.48000,0.01000,14.20000,-0.92500,0.05100,0.24400,-3.86000,-4.73000,7.24000,25.5,15.5,1.0,1.0,1.032066,-0.060162,2.067321,-0.494760,-1.363249,2.360744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.5711,,,,,9803,9314,3419,3006,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019462.9075,E_left_back_r2,E,left,2,back,,13,121.1000,342.0000,191.6000,319.8000,0.0000,50.4000,360.0000,351.8000,24.1000,0.0000,0.0000,0.0000,123.4000,0.0000,0.37500,-0.10300,0.84800,1.48000,0.01000,14.20000,-0.92500,0.05100,0.24400,-3.86000,-4.73000,7.24000,25.5,15.5,1.0,1.0,1.032066,-0.060162,2.067321,-0.494760,-1.363249,2.360744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.5711,,,,,9803,9314,3419,3006,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019462.9180,E_left_back_r2,E,left,2,back,,14,121.1000,342.0000,191.6000,319.8000,0.0000,50.4000,360.0000,351.8000,24.1000,0.0000,0.0000,0.0000,123.4000,0.0000,0.37500,-0.10300,0.84800,1.48000,0.01000,14.20000,-0.92500,0.05100,0.24400,-3.86000,-4.73000,7.24000,25.5,15.5,1.0,1.0,1.032066,-0.060162,2.067321,-0.494760,-1.363249,2.360744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.5711,,,,,9803,9314,3419,3006,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019462.9381,E_left_back_r2,E,left,2,back,,15,121.1000,342.0000,191.6000,319.8000,0.0000,50.4000,360.0000,351.8000,24.1000,0.0000,0.0000,0.0000,123.4000,0.0000,0.37500,-0.10300,0.84800,1.48000,0.01000,14.20000,-0.92500,0.05100,0.24400,-3.86000,-4.73000,7.24000,25.5,15.5,1.0,1.0,1.275034,1.578523,2.061819,-0.494760,-1.363249,2.360744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.5711,,,,,129436,125765,3450,3059,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019462.9645,E_left_back_r2,E,left,2,back,,16,121.8000,341.6000,191.3000,319.7000,0.0000,38.9000,360.0000,351.7000,23.7000,0.0000,0.0000,0.0000,123.5000,0.0000,0.24500,-0.08400,0.85600,9.73000,4.07000,8.24000,-0.96100,0.04700,0.25100,-0.94000,-0.74000,0.44000,14.9,7.2,1.0,0.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.8498,,,,,129436,125765,3450,3059,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019462.9807,E_left_back_r2,E,left,2,back,,17,121.8000,341.6000,191.3000,319.7000,0.0000,38.9000,360.0000,351.7000,23.7000,0.0000,0.0000,0.0000,123.5000,0.0000,0.24500,-0.08400,0.85600,9.73000,4.07000,8.24000,-0.96100,0.04700,0.25100,-0.94000,-0.74000,0.44000,14.9,7.2,1.0,0.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.8498,,,,,9803,9314,3419,3007,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019463.0180,E_left_back_r2,E,left,2,back,,18,121.8000,341.6000,191.3000,319.7000,0.0000,38.9000,360.0000,351.7000,23.7000,0.0000,0.0000,0.0000,123.5000,0.0000,0.24500,-0.08400,0.85600,9.73000,4.07000,8.24000,-0.96100,0.04700,0.25100,-0.94000,-0.74000,0.44000,10.6,2.9,1.0,0.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.8498,,,,,129436,125765,3450,3060,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019463.0213,E_left_back_r2,E,left,2,back,,19,121.8000,341.6000,191.3000,319.7000,0.0000,38.9000,360.0000,351.7000,23.7000,0.0000,0.0000,0.0000,123.5000,0.0000,0.24500,-0.08400,0.85600,9.73000,4.07000,8.24000,-0.96100,0.04700,0.25100,-0.94000,-0.74000,0.44000,10.6,2.9,1.0,0.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.8498,,,,,129436,125765,3450,3060,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019463.0495,E_left_back_r2,E,left,2,back,,20,121.8000,341.6000,191.3000,319.7000,0.0000,38.9000,360.0000,351.7000,23.7000,0.0000,0.0000,0.0000,123.5000,0.0000,0.24500,-0.08400,0.85600,9.73000,4.07000,8.24000,-0.96100,0.04700,0.25100,-0.94000,-0.74000,0.44000,10.6,2.9,1.0,0.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.8498,,,,,129436,125765,3451,3060,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019463.0672,E_left_back_r2,E,left,2,back,,21,121.8000,341.6000,191.3000,319.7000,0.0000,38.9000,360.0000,351.7000,23.7000,0.0000,0.0000,0.0000,123.5000,0.0000,0.24500,-0.08400,0.85600,9.73000,4.07000,8.24000,-0.96100,0.04700,0.25100,-0.94000,-0.74000,0.44000,10.6,2.9,1.0,0.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.8498,,,,,9803,9314,3419,3007,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019463.0812,E_left_back_r2,E,left,2,back,,22,121.8000,341.6000,191.3000,319.7000,0.0000,38.9000,360.0000,351.7000,23.7000,0.0000,0.0000,0.0000,123.5000,0.0000,0.24500,-0.08400,0.85600,9.73000,4.07000,8.24000,-0.96100,0.04700,0.25100,-0.94000,-0.74000,0.44000,10.6,2.9,1.0,0.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.8498,,,,,129436,125765,3451,3060,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019463.1311,E_left_back_r2,E,left,2,back,,23,121.7000,340.4000,192.4000,319.8000,0.0000,52.2000,360.0000,351.7000,23.5000,0.0000,0.0000,0.0000,123.4000,0.0000,0.27200,-0.06700,0.92700,13.51000,1.01000,-8.87000,-0.92300,0.03900,0.22900,-3.42000,-0.26000,2.05000,9.5,3.5,1.0,0.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.9827,,,,,129436,125765,3451,3060,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019463.1324,E_left_back_r2,E,left,2,back,,24,121.7000,340.4000,192.4000,319.8000,0.0000,52.2000,360.0000,351.7000,23.5000,0.0000,0.0000,0.0000,123.4000,0.0000,0.27200,-0.06700,0.92700,13.51000,1.01000,-8.87000,-0.92300,0.03900,0.22900,-3.42000,-0.26000,2.05000,9.5,3.5,1.0,0.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.9827,,,,,129436,125765,3451,3060,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019463.1430,E_left_back_r2,E,left,2,back,,25,121.7000,340.4000,192.4000,319.8000,0.0000,52.2000,360.0000,351.7000,23.5000,0.0000,0.0000,0.0000,123.4000,0.0000,0.27200,-0.06700,0.92700,13.51000,1.01000,-8.87000,-0.92300,0.03900,0.22900,-3.42000,-0.26000,2.05000,9.5,3.5,1.0,0.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,5.9827,,,,,129436,125765,3451,3060,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019463.1728,E_left_back_r2,E,left,2,back,,26,121.7000,340.4000,192.4000,319.8000,0.0000,52.3000,360.0000,351.7000,23.6000,0.0000,0.0000,0.0000,123.4000,0.0000,0.26700,-0.04900,0.90900,15.64000,1.38000,-12.76000,-0.90400,0.04200,0.22600,-1.23000,0.72000,-0.72000,8.9,3.4,1.0,0.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,6.0159,,,,,9803,125765,3420,3060,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019463.1865,E_left_back_r2,E,left,2,back,,27,121.7000,340.4000,192.4000,319.7000,0.0000,52.4000,360.0000,351.7000,23.6000,0.0000,0.0000,0.0000,123.4000,0.0000,0.25800,-0.04300,0.87900,15.85000,3.10000,-15.50000,-0.90400,0.04200,0.22600,-1.23000,0.72000,-0.72000,8.9,3.4,1.0,0.0,0.856862,0.822122,1.726022,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,6.0159,,,,,9803,125765,3420,3060,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019463.2036,E_left_back_r2,E,left,2,back,,28,121.7000,340.6000,192.6000,319.3000,0.0000,52.0000,357.7000,351.7000,23.6000,0.0000,0.0000,0.0000,123.5000,0.0000,0.26900,-0.06600,0.93600,-1.99000,9.84000,-3.41000,-0.91400,0.04300,0.23200,0.17000,2.05000,-3.15000,9.7,2.5,1.0,0.0,1.032066,-0.060162,2.067321,-0.494809,-1.363257,2.360721,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.9096,,,,,9803,9314,3420,3008,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019463.2218,E_left_back_r2,E,left,2,back,,29,121.7000,340.5000,192.6000,319.4000,0.0000,52.5000,358.3000,351.7000,23.7000,0.0000,0.0000,0.0000,123.5000,0.0000,0.26800,-0.07500,0.92700,-2.13000,9.53000,-4.24000,-0.93200,0.07200,0.26000,1.98000,1.29000,-6.96000,10.0,1.9,1.0,0.0,0.856862,0.822122,1.726022,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,6.0729,,,,,9803,125765,3420,3061,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
